surface	pos	frequency
며칠	NNG	12000
몇일	NNG	1
가다	VV	100000
오다	VV	90000
하다	VV	150000
되다	VV	140000
있다	VA	180000
없다	VA	130000
읽다	VV	24000
쓰다	VV	26000
문서	NNG	32000
검사기	NNG	1800
맞춤법	NNG	8500
띄어쓰기	NNG	4200
문법	NNG	12000
교정	NNG	7000
사전	NNG	18000
형태소	NNG	3200
어휘	NNG	5500
문장	NNG	45000
표현	NNG	28000
사용자	NNG	36000
프로젝트	NNG	25000
개발자	NNG	18000
고유명사	NNG	1200
온라인	NNG	16000
오프라인	NNG	12000
안전하다	VA	5000
정확하다	VA	6000
빠르다	VA	5500
검토	NNG	9000
추천	NNG	12000
제안	NNG	15000
수정	NNG	24000
결과	NNG	38000
설정	NNG	21000
지원	NNG	31000
확인	NNG	27000
기록	NNG	16000
출처	NNG	8000
